Step,Feature,x_norm,P_prev,u_pre_sparsemax,M_after_sparsemax,x_norm_x_M
9,no_of_days_employed_missing,-0.100612424,235.43304,-307.53522,0.0,-0.0
9,no_of_children_missing,-0.13051206,235.43304,-269.5178,0.0,-0.0
9,owns_car_missing,-0.109174095,116.4777,-284.2462,0.0,-0.0
9,default_in_last_6months,1.0,235.43304,-298.5065,0.0,0.0
9,prev_defaults,1.0,112.14915,-212.47458,0.0,0.0
9,credit_limit,0.03642351,116.4777,-264.47092,0.0,0.0
9,gender,1.0,116.4777,-255.2067,0.0,0.0
9,yearly_debt_payments,-1.323702,235.43304,-279.8455,0.0,-0.0
9,migrant_worker,0.0,235.43304,-293.746,0.0,0.0
9,total_family_members,0.9359393,235.43304,-357.6282,0.0,0.0
9,occupation_type,17.0,235.43304,-237.41904,0.0,0.0
9,no_of_days_employed,-0.48311415,235.43304,-181.55663,0.0,-0.0
9,net_yearly_income,-0.07780579,235.43304,-292.09433,0.0,-0.0
9,no_of_children,0.8230859,235.43304,-213.33783,0.0,0.0
9,owns_house,1.0,235.43304,-275.2349,0.0,0.0
9,owns_car,0.0,235.43304,-272.27905,0.0,0.0
9,credit_score_missing,0.0,235.43304,-318.6612,0.0,0.0
10,no_of_children_missing,-0.13051206,465.96237,0.0,1.0,-0.13051206
10,age,-0.41929305,230.52934,-352.33838,0.0,-0.0
10,credit_limit_used(%),97.0,230.52934,-339.0256,0.0,0.0
10,yearly_debt_payments_missing,0.0,465.96237,-834.71606,0.0,0.0
10,migrant_worker_missing,0.0,230.52933,-167.97873,0.0,0.0
10,total_family_members_missing,0.0,465.96237,-267.73654,0.0,0.0
10,no_of_days_employed_missing,-0.100612424,465.96237,-209.57841,0.0,-0.0
10,owns_car_missing,-0.109174095,230.52934,-641.9565,0.0,-0.0
10,default_in_last_6months,1.0,465.96237,-121.345245,0.0,0.0
10,prev_defaults,1.0,221.9624,-509.3075,0.0,0.0
10,credit_score,-2.2520368,122.61862,-462.2382,0.0,-0.0
10,credit_limit,0.03642351,230.52934,-499.38477,0.0,0.0
10,gender,1.0,230.52934,-235.83072,0.0,0.0
10,yearly_debt_payments,-1.323702,465.96237,-171.42026,0.0,-0.0
10,migrant_worker,0.0,465.96237,-289.89456,0.0,0.0
10,total_family_members,0.9359393,465.96237,-789.0626,0.0,0.0
10,occupation_type,17.0,465.96237,-664.03326,0.0,0.0
10,no_of_days_employed,-0.48311415,465.96237,-303.4566,0.0,-0.0
10,net_yearly_income,-0.07780579,465.96237,-905.2118,0.0,-0.0
10,no_of_children,0.8230859,465.96237,-424.8419,0.0,0.0
10,owns_house,1.0,465.96237,-298.43958,0.0,0.0
10,owns_car,0.0,465.96237,-424.83698,0.0,0.0
10,credit_score_missing,0.0,465.96237,-507.6709,0.0,0.0
